"country","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Kuwait",4302875,4602914,4873674,5111323,5323821,5504477,5643532,5748264,5827732,5897033,5966806,6037495,6102737,6155158,6192779,6217291,6231155
"Kyrgyz Republic",6301718,6675072,6997284,7300284,7596178,7872543,8112653,8311417,8470031,8596829,8697868,8775263,8833460,8875401,8897809,8891668,8851934
"Lao",7164822,7629773,8048698,8416467,8727905,8978146,9162892,9283327,9339862,9335058,9273381,9162057,9010877,8830990,8632672,8420917,8200027
"Latvia",1892993,1812682,1747192,1681894,1622754,1569178,1517200,1465736,1415076,1366653,1322014,1282562,1248794,1220456,1196089,1173129,1149325
"Lebanon",6019795,5605987,5368598,5335520,5392419,5412032,5411830,5399312,5367998,5303918,5200405,5061624,4903555,4743165,4594249,4462823,4349738
"Lesotho",2322217,2466330,2607957,2752561,2902197,3054502,3203470,3343817,3469806,3578718,3670731,3746382,3806349,3851474,3882495,3900158,3904989
"Liberia",5103853,5770096,6495377,7271261,8087611,8934809,9804031,10689379,11581381,12471642,13348829,14202237,15022009,15797873,16522941,17190605,17800502
"Libya",6662173,7031832,7342346,7603743,7825251,8003680,8123669,8175198,8163080,8106794,8030639,7948544,7865858,7776465,7674391,7557720,7431453
"Liechtenstein",38645,39844,40918,41770,42378,42785,43096,43342,43571,43831,44126,44471,44841,45205,45542,45821,46075
"Lithuania",2852478,2788010,2717731,2638998,2557900,2480144,2406723,2338008,2273154,2211262,2152771,2098868,2050228,2006946,1968942,1935408,1904002
"Luxembourg",603944,641757,674864,707373,738428,767807,795916,822022,846454,869888,892557,914128,934327,953584,971889,989000,1004737
"Macedonia, FYR",2088035,2088336,2076350,2051170,2015548,1974422,1931001,1885702,1836928,1784308,1729015,1674038,1622647,1576657,1536438,1500453,1467059
"Madagascar",27690798,31500077,35591943,39891388,44367656,49012988,53802574,58686533,63594676,68473226,73274376,77946072,82452185,86742010,90776882,94539567,98001584
"Malawi",20283691,23277224,26578247,30109857,33836707,37719155,41705002,45752245,49799238,53784568,57643148,61315271,64759965,67945464,70837984,73429175,75710602
"Malaysia",32869323,34949758,36814968,38380670,39668262,40760928,41729217,42560484,43194485,43580750,43697589,43580736,43307700,42958599,42585801,42203736,41799363
"Maldives",458909,489695,511766,529943,546961,563119,576435,584547,586619,583247,575584,564416,550485,535053,520186,507423,496493
"Mali",20284180,23475747,27057112,30982972,35173773,39542118,44020171,48575874,53153630,57707270,62162821,66436958,70466814,74189589,77563590,80574641,83207100
"Malta",434363,439036,439963,436695,431149,424966,419247,413968,408486,402049,394244,385454,376678,368742,362084,356697,352199
"Marshall Islands",53251,53702,55634,58586,61858,64457,65868,66575,67496,69108,71173,72987,73993,74087,73551,72757,71925
"Mauritania",4783767,5416711,6076668,6766329,7482408,8218228,8965000,9713321,10457086,11190525,11907842,12602931,13269949,13902661,14489677,15029498,15518953
"Mauritius",1274114,1283273,1286934,1282701,1269200,1247598,1221030,1193212,1165670,1138022,1109336,1078966,1047260,1015508,984928,956636,931656
"Mexico",133870027,141131503,147540127,153060606,157689665,161436237,164279302,166206147,167182207,167249641,166496007,165059416,163097669,160659839,157825851,154729398,151491044
"Micronesia, Fed. Sts.",107774,112283,117430,121579,124494,126546,128193,129688,130594,130377,128818,126216,123130,120018,116975,113889,110629
"Moldova",4017687,3943322,3843941,3721155,3583993,3440601,3293157,3141130,2982826,2817998,2651343,2490736,2346499,2223664,2120821,2032614,1952909
"Monaco",39297,40294,41362,42462,43487,44513,45685,46949,48281,49682,51198,52788,54407,55993,57474,58827,60055
"Mongolia",3209404,3402258,3560959,3698058,3827004,3953993,4075382,4176784,4250134,4301957,4344680,4387607,4434048,4479504,4515683,4536345,4540768
"Montenegro",629397,628109,624702,618895,610465,599832,587899,575466,562639,549098,534678,519659,504507,489588,475264,461628,448946
"Morocco",37070718,39100641,40873592,42407174,43713705,44798428,45659886,46301091,46709789,46886622,46842859,46606862,46225536,45740112,45174846,44536323,43840152
"Mozambique",32309195,37116198,42438703,48241764,54443113,60974587,67774943,74811033,82012248,89284091,96544446,103698559,110667324,117360436,123688395,129613774,135046350
